date,description,category,amount,account,method
2025-03-01,DECATHLON,shopping,-155.12,CHK-4471,card
2025-03-01,RENT - HARBOUR LOFTS,housing,-1150.0,CHK-4471,transfer
2025-03-02,IRONWORKS GYM,subscriptions,-35.0,CHK-4471,direct_debit
2025-03-02,THE CURRY POT,dining,-40.4,CHK-4471,card
2025-03-05,NETFLIX,subscriptions,-12.99,CHK-4471,card
2025-03-06,BEAN THERE,dining,-3.66,CHK-4471,card
2025-03-06,CORNER MARKET,groceries,-49.84,CHK-4471,card
2025-03-07,DAILY GRIND,dining,-3.66,CHK-4471,card
2025-03-07,METRO CARD TOPUP,transport,-6.77,CHK-4471,card
2025-03-08,ICLOUD STORAGE,subscriptions,-2.99,CHK-4471,card
2025-03-08,THE CURRY POT,dining,-11.97,CHK-4471,card
2025-03-09,CORNER MARKET,groceries,-29.75,CHK-4471,card
2025-03-10,CITY POWER,utilities,-52.6,CHK-4471,direct_debit
2025-03-12,SPOTIFY PREMIUM,subscriptions,-9.99,CHK-4471,card
2025-03-13,BOOK NOOK,shopping,-124.22,CHK-4471,card
2025-03-13,CAFE ORBIT,dining,-7.47,CHK-4471,card
2025-03-13,REFUND - TECH BAZAAR,shopping,29.75,CHK-4471,card
2025-03-15,FIBRENET INTERNET,utilities,-45.0,CHK-4471,direct_debit
2025-03-15,FUEL STOP,transport,-44.1,CHK-4471,card
2025-03-16,BURGER LAB,dining,-37.8,CHK-4471,card
2025-03-18,CLOUDSTREAM TV,subscriptions,-15.99,CHK-4471,card
2025-03-18,DAILY GRIND,dining,-6.95,CHK-4471,card
2025-03-19,FRESHMART,groceries,-81.33,CHK-4471,card
2025-03-20,AQUA UTILITIES,utilities,-18.08,CHK-4471,direct_debit
2025-03-21,CAFE ORBIT,dining,-4.24,CHK-4471,card
2025-03-22,FUEL STOP,transport,-54.49,CHK-4471,card
2025-03-23,SUSHI GO,dining,-34.42,CHK-4471,card
2025-03-24,SUPERSAVE,groceries,-62.5,CHK-4471,card
2025-03-25,PIZZA UNO,dining,-18.83,CHK-4471,card
2025-03-25,SALARY - NEXUS TECH,income,3200.0,CHK-4471,transfer
2025-03-26,CAFE ORBIT,dining,-6.14,CHK-4471,card
2025-03-26,FRESHMART,groceries,-31.65,CHK-4471,card
2025-03-26,TRANSFER TO SAVINGS,savings,-300.0,CHK-4471,transfer
2025-03-28,BEAN THERE,dining,-5.03,CHK-4471,card
2025-03-28,BURGER LAB,dining,-11.36,CHK-4471,card
2025-03-28,DAILY GRIND,dining,-5.07,CHK-4471,card
2025-03-28,PIZZA UNO,dining,-27.4,CHK-4471,card
2025-04-01,DAILY GRIND,dining,-6.09,CHK-4471,card
2025-04-01,RENT - HARBOUR LOFTS,housing,-1150.0,CHK-4471,transfer
2025-04-02,CAFE ORBIT,dining,-3.57,CHK-4471,card
2025-04-02,IRONWORKS GYM,subscriptions,-35.0,CHK-4471,direct_debit
2025-04-04,BURGER LAB,dining,-34.77,CHK-4471,card
2025-04-04,CORNER MARKET,groceries,-68.66,CHK-4471,card
2025-04-04,RIDEHAIL,transport,-39.06,CHK-4471,card
2025-04-04,ZARA,shopping,-169.46,CHK-4471,card
2025-04-05,CAFE ORBIT,dining,-6.74,CHK-4471,card
2025-04-05,NETFLIX,subscriptions,-12.99,CHK-4471,card
2025-04-07,CAFE ORBIT,dining,-3.87,CHK-4471,card
2025-04-07,METRO CARD TOPUP,transport,-23.09,CHK-4471,card
2025-04-07,NOODLE HOUSE,dining,-23.81,CHK-4471,card
2025-04-08,ICLOUD STORAGE,subscriptions,-2.99,CHK-4471,card
2025-04-08,METRO CARD TOPUP,transport,-27.64,CHK-4471,card
2025-04-08,NOODLE HOUSE,dining,-25.34,CHK-4471,card
2025-04-09,BEAN THERE,dining,-3.66,CHK-4471,card
2025-04-09,CAFE ORBIT,dining,-7.18,CHK-4471,card
2025-04-10,CITY POWER,utilities,-76.58,CHK-4471,direct_debit
2025-04-10,DAILY GRIND,dining,-3.5,CHK-4471,card
2025-04-11,BEAN THERE,dining,-3.35,CHK-4471,card
2025-04-12,SPOTIFY PREMIUM,subscriptions,-9.99,CHK-4471,card
2025-04-13,DAILY GRIND,dining,-5.56,CHK-4471,card
2025-04-13,PIZZA UNO,dining,-33.08,CHK-4471,card
2025-04-15,BURGER LAB,dining,-23.9,CHK-4471,card
2025-04-15,DAILY GRIND,dining,-5.71,CHK-4471,card
2025-04-15,FIBRENET INTERNET,utilities,-45.0,CHK-4471,direct_debit
2025-04-17,CORNER MARKET,groceries,-78.89,CHK-4471,card
2025-04-18,BEAN THERE,dining,-3.23,CHK-4471,card
2025-04-18,CLOUDSTREAM TV,subscriptions,-15.99,CHK-4471,card
2025-04-18,RIDEHAIL,transport,-33.71,CHK-4471,card
2025-04-20,AQUA UTILITIES,utilities,-20.66,CHK-4471,direct_debit
2025-04-20,METRO CARD TOPUP,transport,-51.07,CHK-4471,card
2025-04-20,SUSHI GO,dining,-9.67,CHK-4471,card
2025-04-21,CORNER MARKET,groceries,-68.43,CHK-4471,card
2025-04-23,REFUND - DECATHLON,shopping,23.62,CHK-4471,card
2025-04-25,SALARY - NEXUS TECH,income,3200.0,CHK-4471,transfer
2025-04-26,THE CURRY POT,dining,-19.44,CHK-4471,card
2025-04-26,TRANSFER TO SAVINGS,savings,-300.0,CHK-4471,transfer
2025-04-27,DECATHLON,shopping,-99.38,CHK-4471,card
2025-04-28,SUPERSAVE,groceries,-33.34,CHK-4471,card
2025-05-01,METRO CARD TOPUP,transport,-15.88,CHK-4471,card
2025-05-01,RENT - HARBOUR LOFTS,housing,-1150.0,CHK-4471,transfer
2025-05-02,DAILY GRIND,dining,-4.72,CHK-4471,card
2025-05-02,IRONWORKS GYM,subscriptions,-35.0,CHK-4471,direct_debit
2025-05-05,NETFLIX,subscriptions,-12.99,CHK-4471,card
2025-05-07,CAFE ORBIT,dining,-6.05,CHK-4471,card
2025-05-07,CORNER MARKET,groceries,-62.9,CHK-4471,card
2025-05-08,ICLOUD STORAGE,subscriptions,-2.99,CHK-4471,card
2025-05-09,BURGER LAB,dining,-29.18,CHK-4471,card
2025-05-09,METRO CARD TOPUP,transport,-36.57,CHK-4471,card
2025-05-10,CITY POWER,utilities,-80.32,CHK-4471,direct_debit
2025-05-10,DAILY GRIND,dining,-5.36,CHK-4471,card
2025-05-11,RIDEHAIL,transport,-50.72,CHK-4471,card
2025-05-11,SUSHI GO,dining,-18.79,CHK-4471,card
2025-05-12,FUEL STOP,transport,-31.96,CHK-4471,card
2025-05-12,SPOTIFY PREMIUM,subscriptions,-9.99,CHK-4471,card
2025-05-13,DAILY GRIND,dining,-4.09,CHK-4471,card
2025-05-15,BOOK NOOK,shopping,-41.22,CHK-4471,card
2025-05-15,FIBRENET INTERNET,utilities,-45.0,CHK-4471,direct_debit
2025-05-16,BURGER LAB,dining,-37.72,CHK-4471,card
2025-05-16,THE CURRY POT,dining,-34.22,CHK-4471,card
2025-05-18,CLOUDSTREAM TV,subscriptions,-15.99,CHK-4471,card
2025-05-20,AQUA UTILITIES,utilities,-24.94,CHK-4471,direct_debit
2025-05-20,FRESHMART,groceries,-48.92,CHK-4471,card
2025-05-20,PIZZA UNO,dining,-13.49,CHK-4471,card
2025-05-20,THE CURRY POT,dining,-24.96,CHK-4471,card
2025-05-23,BEAN THERE,dining,-4.45,CHK-4471,card
2025-05-24,BURGER LAB,dining,-41.21,CHK-4471,card
2025-05-24,CAFE ORBIT,dining,-4.17,CHK-4471,card
2025-05-24,GREEN GROCER,groceries,-70.79,CHK-4471,card
2025-05-25,BONUS - NEXUS TECH,income,450.0,CHK-4471,transfer
2025-05-25,DAILY GRIND,dining,-5.95,CHK-4471,card
2025-05-25,SALARY - NEXUS TECH,income,3200.0,CHK-4471,transfer
2025-05-26,BEAN THERE,dining,-6.99,CHK-4471,card
2025-05-26,TRANSFER TO SAVINGS,savings,-300.0,CHK-4471,transfer
2025-05-27,GREEN GROCER,groceries,-56.6,CHK-4471,card
2025-05-28,PIZZA UNO,dining,-35.84,CHK-4471,card
2025-06-01,RENT - HARBOUR LOFTS,housing,-1150.0,CHK-4471,transfer
2025-06-02,BEAN THERE,dining,-5.87,CHK-4471,card
2025-06-02,IRONWORKS GYM,subscriptions,-35.0,CHK-4471,direct_debit
2025-06-02,SUSHI GO,dining,-17.47,CHK-4471,card
2025-06-03,DAILY GRIND,dining,-5.76,CHK-4471,card
2025-06-05,METRO CARD TOPUP,transport,-48.96,CHK-4471,card
2025-06-05,NETFLIX,subscriptions,-12.99,CHK-4471,card
2025-06-07,RIDEHAIL,transport,-45.05,CHK-4471,card
2025-06-08,CORNER MARKET,groceries,-30.84,CHK-4471,card
2025-06-08,ICLOUD STORAGE,subscriptions,-2.99,CHK-4471,card
2025-06-10,BEAN THERE,dining,-4.47,CHK-4471,card
2025-06-10,CITY POWER,utilities,-61.05,CHK-4471,direct_debit
2025-06-10,SUSHI GO,dining,-18.18,CHK-4471,card
2025-06-10,SUSHI GO,dining,-26.76,CHK-4471,card
2025-06-11,DAILY GRIND,dining,-5.02,CHK-4471,card
2025-06-12,SPOTIFY PREMIUM,subscriptions,-9.99,CHK-4471,card
2025-06-13,THE CURRY POT,dining,-25.4,CHK-4471,card
2025-06-15,FIBRENET INTERNET,utilities,-45.0,CHK-4471,direct_debit
2025-06-16,NOODLE HOUSE,dining,-39.89,CHK-4471,card
2025-06-17,SUSHI GO,dining,-10.99,CHK-4471,card
2025-06-18,CLOUDSTREAM TV,subscriptions,-15.99,CHK-4471,card
2025-06-18,SUPERSAVE,groceries,-89.25,CHK-4471,card
2025-06-19,DAILY GRIND,dining,-5.07,CHK-4471,card
2025-06-20,AQUA UTILITIES,utilities,-22.32,CHK-4471,direct_debit
2025-06-21,SUPERSAVE,groceries,-47.91,CHK-4471,card
2025-06-22,FRESHMART,groceries,-58.89,CHK-4471,card
2025-06-22,FUEL STOP,transport,-21.95,CHK-4471,card
2025-06-22,RIDEHAIL,transport,-29.54,CHK-4471,card
2025-06-23,BEAN THERE,dining,-3.83,CHK-4471,card
2025-06-23,METRO CARD TOPUP,transport,-46.87,CHK-4471,card
2025-06-23,TECH BAZAAR,shopping,-127.14,CHK-4471,card
2025-06-25,SALARY - NEXUS TECH,income,3200.0,CHK-4471,transfer
2025-06-26,TRANSFER TO SAVINGS,savings,-300.0,CHK-4471,transfer
2025-06-27,CAFE ORBIT,dining,-6.22,CHK-4471,card
2025-06-27,RIDEHAIL,transport,-32.88,CHK-4471,card
2025-06-28,CAFE ORBIT,dining,-3.87,CHK-4471,card
2025-07-01,RENT - HARBOUR LOFTS,housing,-1150.0,CHK-4471,transfer
2025-07-02,GREEN GROCER,groceries,-84.45,CHK-4471,card
2025-07-02,IRONWORKS GYM,subscriptions,-35.0,CHK-4471,direct_debit
2025-07-02,PIZZA UNO,dining,-14.82,CHK-4471,card
2025-07-05,FUEL STOP,transport,-9.74,CHK-4471,card
2025-07-05,NETFLIX,subscriptions,-12.99,CHK-4471,card
2025-07-05,THE CURRY POT,dining,-35.73,CHK-4471,card
2025-07-07,SUSHI GO,dining,-30.05,CHK-4471,card
2025-07-08,ICLOUD STORAGE,subscriptions,-2.99,CHK-4471,card
2025-07-09,CITY BUS,transport,-50.73,CHK-4471,card
2025-07-09,DAILY GRIND,dining,-5.48,CHK-4471,card
2025-07-09,DAILY GRIND,dining,-4.18,CHK-4471,card
2025-07-09,REFUND - ZARA,shopping,33.2,CHK-4471,card
2025-07-10,CITY POWER,utilities,-51.33,CHK-4471,direct_debit
2025-07-10,DECATHLON,shopping,-133.62,CHK-4471,card
2025-07-11,DAILY GRIND,dining,-4.42,CHK-4471,card
2025-07-11,METRO CARD TOPUP,transport,-41.43,CHK-4471,card
2025-07-11,SUSHI GO,dining,-15.72,CHK-4471,card
2025-07-12,SPOTIFY PREMIUM,subscriptions,-9.99,CHK-4471,card
