date,TECHX,BANKCO,GOLDF,CRYPTOZ
2022-09-01,100.0,55.0,180.0,240.0
2022-09-02,101.53,54.99,180.99,235.36
2022-09-05,102.01,54.52,180.51,242.29
2022-09-06,103.13,54.4,180.95,236.69
2022-09-07,104.3,56.02,181.8,248.33
2022-09-08,103.31,55.83,183.0,242.27
2022-09-09,103.04,54.78,184.31,243.02
2022-09-12,102.9,55.1,185.59,249.06
2022-09-13,107.92,56.61,186.58,261.61
2022-09-14,105.44,56.29,187.75,241.11
2022-09-15,106.61,57.18,190.47,245.97
2022-09-16,105.58,56.87,192.08,256.52
2022-09-19,104.11,56.91,188.72,247.15
2022-09-20,102.31,55.71,188.63,256.9
2022-09-21,102.4,55.28,190.38,258.59
2022-09-22,99.95,54.08,188.47,249.37
2022-09-23,98.11,53.38,190.82,231.79
2022-09-26,99.98,54.26,190.83,240.21
2022-09-27,100.3,53.81,192.32,248.36
2022-09-28,100.06,53.87,193.37,236.91
2022-09-29,97.65,52.43,195.71,211.66
2022-09-30,96.22,52.57,196.16,212.51
2022-10-03,99.95,53.22,196.29,235.66
2022-10-04,97.46,52.57,193.55,216.84
2022-10-05,94.07,51.35,192.06,218.14
2022-10-06,95.44,51.51,191.79,227.17
2022-10-07,96.99,51.99,192.96,246.41
2022-10-10,98.65,51.38,190.89,230.61
2022-10-11,98.42,51.13,189.54,240.3
2022-10-12,101.08,51.32,190.85,232.64
2022-10-13,101.44,50.38,191.38,235.55
2022-10-14,103.76,51.07,192.11,265.45
2022-10-17,105.17,50.69,195.35,269.13
2022-10-18,104.09,50.54,195.98,276.11
2022-10-19,108.58,51.88,194.95,273.23
2022-10-20,112.56,52.93,193.65,293.34
2022-10-21,113.67,53.48,193.66,310.41
2022-10-24,114.86,52.99,194.03,298.27
2022-10-25,118.55,53.83,191.92,327.23
2022-10-26,119.37,53.61,193.67,341.39
2022-10-27,118.57,53.69,196.39,337.16
2022-10-28,117.59,53.99,195.33,345.22
2022-10-31,123.54,54.39,198.78,340.88
2022-11-01,123.62,54.63,200.09,336.36
2022-11-02,126.64,55.67,199.03,354.97
2022-11-03,128.43,56.38,199.55,365.51
2022-11-04,131.5,56.86,201.18,371.9
2022-11-07,133.27,57.45,202.92,378.48
2022-11-08,130.9,56.43,203.66,371.92
2022-11-09,128.32,56.55,201.89,356.27
2022-11-10,129.16,56.9,202.78,359.15
2022-11-11,127.77,57.44,203.9,359.32
2022-11-14,124.51,57.98,206.1,338.07
2022-11-15,119.58,57.25,206.89,332.65
2022-11-16,116.11,57.91,208.26,338.31
2022-11-17,120.51,58.87,205.32,388.25
2022-11-18,120.28,58.48,205.01,390.26
2022-11-21,119.59,58.41,206.65,383.63
2022-11-22,116.52,57.79,207.54,405.48
2022-11-23,116.02,57.85,207.28,379.14
2022-11-24,113.54,56.65,208.9,367.39
2022-11-25,110.44,55.76,210.31,348.3
2022-11-28,109.39,54.88,211.64,321.2
2022-11-29,112.59,56.28,211.63,338.69
2022-11-30,112.24,56.12,208.97,337.81
2022-12-01,113.54,56.08,209.04,343.05
2022-12-02,111.02,56.45,211.31,334.03
2022-12-05,108.33,56.3,210.16,325.89
2022-12-06,110.02,55.42,211.77,336.21
2022-12-07,110.36,55.18,211.42,360.29
2022-12-08,110.36,54.8,213.28,350.74
2022-12-09,113.35,54.36,214.44,359.44
2022-12-12,116.22,54.98,215.24,382.23
2022-12-13,114.17,54.54,215.28,373.13
2022-12-14,113.47,54.02,212.49,389.32
2022-12-15,115.62,54.52,215.03,400.25
2022-12-16,114.32,53.98,212.49,408.43
2022-12-19,112.5,53.68,213.38,397.6
2022-12-20,111.58,53.75,210.29,394.37
2022-12-21,111.15,54.41,207.98,392.69
2022-12-22,113.44,54.85,209.94,390.98
2022-12-23,113.9,54.85,209.03,401.68
2022-12-26,115.22,55.19,206.98,398.6
2022-12-27,113.23,54.73,207.67,391.31
2022-12-28,116.36,56.15,209.65,416.65
2022-12-29,117.48,57.36,211.67,426.54
2022-12-30,119.85,56.82,210.9,392.33
2023-01-02,121.28,56.7,208.97,368.98
2023-01-03,118.22,56.22,207.89,396.97
2023-01-04,121.6,55.79,207.93,418.31
2023-01-05,124.24,56.88,208.55,452.77
2023-01-06,121.71,57.43,208.37,477.1
2023-01-09,126.39,58.52,212.48,526.29
2023-01-10,127.23,58.18,209.97,514.47
2023-01-11,124.89,58.59,208.5,493.72
2023-01-12,126.6,58.56,205.5,477.56
2023-01-13,127.43,58.04,205.42,477.98
2023-01-16,127.17,56.87,207.41,487.75
2023-01-17,128.49,57.37,209.5,454.88
2023-01-18,130.71,57.15,205.91,476.28
2023-01-19,131.37,56.98,207.61,487.8
2023-01-20,129.65,57.32,212.45,498.79
2023-01-23,127.17,56.62,214.4,493.91
2023-01-24,127.8,56.04,212.04,499.2
2023-01-25,127.08,56.26,214.53,487.12
2023-01-26,130.37,56.48,216.99,471.94
2023-01-27,135.04,57.2,217.97,530.25
2023-01-30,137.41,57.39,217.4,537.7
2023-01-31,135.59,55.2,217.19,546.31
2023-02-01,134.16,54.09,216.44,523.27
2023-02-02,131.28,54.07,215.76,501.25
2023-02-03,135.06,54.31,215.42,526.17
2023-02-06,136.71,54.63,215.19,494.61
2023-02-07,137.01,55.13,213.58,496.42
2023-02-08,133.01,55.25,213.93,485.42
2023-02-09,133.58,54.28,213.99,467.19
2023-02-10,135.38,55.94,214.97,479.44
2023-02-13,137.69,55.56,214.36,491.85
2023-02-14,136.41,55.64,213.58,488.02
2023-02-15,138.62,55.58,215.0,503.35
2023-02-16,141.3,56.58,214.75,496.77
2023-02-17,138.48,56.33,216.9,485.13
2023-02-20,139.31,56.57,217.89,497.64
2023-02-21,136.6,56.28,218.35,470.82
2023-02-22,139.48,57.33,218.83,444.49
2023-02-23,139.43,56.48,220.4,416.09
2023-02-24,146.68,57.81,223.27,446.37
2023-02-27,146.53,58.2,224.51,454.64
2023-02-28,143.62,58.07,224.37,435.0
2023-03-01,144.76,57.87,221.72,450.77
2023-03-02,141.9,57.53,224.71,447.44
2023-03-03,143.78,58.06,226.47,454.72
2023-03-06,141.53,57.48,225.1,466.96
2023-03-07,140.43,57.9,224.56,459.18
2023-03-08,142.0,56.99,224.09,467.27
2023-03-09,140.03,56.77,221.2,484.63
2023-03-10,139.12,57.25,220.24,475.36
2023-03-13,136.85,56.65,218.13,473.35
2023-03-14,139.77,57.61,218.26,540.17
2023-03-15,146.99,57.65,220.66,592.82
2023-03-16,147.61,57.47,219.04,612.97
2023-03-17,151.29,59.32,219.48,676.69
2023-03-20,146.8,58.45,215.63,594.48
2023-03-21,143.52,57.68,214.63,565.63
2023-03-22,150.77,58.74,216.44,593.05
2023-03-23,156.21,59.39,219.21,638.87
2023-03-24,160.02,60.18,220.51,627.61
2023-03-27,158.2,60.12,220.11,614.22
2023-03-28,159.76,60.67,221.19,597.29
2023-03-29,158.79,60.47,220.81,594.42
2023-03-30,161.74,60.86,221.8,594.47
2023-03-31,159.51,61.23,224.45,563.02
2023-04-03,158.91,61.06,222.93,557.67
2023-04-04,159.29,62.08,222.26,560.13
2023-04-05,159.73,61.81,220.84,568.15
