event_id,payment_id,at,event,amount_minor,result,decline_code,latency_ms
E002054,P001075,2026-05-04T00:02:48,authorize,2949,approved,,841
E006457,P003386,2026-05-04T00:04:41,authorize,5930,approved,,513
E013367,P007034,2026-05-04T00:05:04,authorize,5557,approved,,741
E004586,P002408,2026-05-04T00:08:05,authorize,13850,declined,insufficient_funds,439
E037473,P019735,2026-05-04T00:09:12,authorize,7766,approved,,486
E015035,P007913,2026-05-04T00:09:36,authorize,4646,approved,,852
E035114,P018473,2026-05-04T00:15:41,authorize,8135,approved,,800
E029519,P015537,2026-05-04T00:20:37,authorize,27045,approved,,754
E008310,P004373,2026-05-04T00:20:47,authorize,5343,declined,incorrect_cvc,834
E014214,P007480,2026-05-04T00:22:10,authorize,6208,declined,insufficient_funds,268
E031095,P016366,2026-05-04T00:22:58,authorize,4404,approved,,674
E025391,P013359,2026-05-04T00:22:59,authorize,7648,approved,,1193
E028859,P015188,2026-05-04T00:23:37,authorize,767,approved,,824
E035662,P018771,2026-05-04T00:24:13,authorize,6356,approved,,164
E032555,P017137,2026-05-04T00:24:25,authorize,24257,approved,,798
E008147,P004290,2026-05-04T00:26:44,authorize,6869,approved,,743
E031209,P016425,2026-05-04T00:27:12,authorize,9075,approved,,255
E013560,P007132,2026-05-04T00:29:53,authorize,1465,declined,insufficient_funds,620
E002708,P001420,2026-05-04T00:31:36,authorize,5134,approved,,819
E014496,P007632,2026-05-04T00:39:26,authorize,6111,approved,,829
E012971,P006821,2026-05-04T00:42:48,authorize,7012,approved,,446
E016904,P008906,2026-05-04T00:42:50,authorize,13824,approved,,596
E031966,P016827,2026-05-04T00:44:55,authorize,12046,approved,,1026
E021733,P011426,2026-05-04T00:47:36,authorize,13145,approved,,807
E032280,P016993,2026-05-04T00:52:32,authorize,6595,approved,,1060
E022459,P011815,2026-05-04T00:53:30,authorize,8467,approved,,1178
E013537,P007119,2026-05-04T00:54:30,authorize,12308,declined,do_not_honor,795
E029925,P015748,2026-05-04T00:54:35,authorize,1570,approved,,558
E006585,P003455,2026-05-04T00:55:15,authorize,1927,timeout,,29638
E008299,P004368,2026-05-04T00:56:43,authorize,12193,approved,,991
E004920,P002585,2026-05-04T01:01:42,authorize,10787,approved,,862
E013510,P007106,2026-05-04T01:04:53,authorize,1239,approved,,907
E016512,P008696,2026-05-04T01:05:05,authorize,2827,approved,,1084
