payout_id,paid_at,line_count,gross_minor,fee_minor,net_minor
PO-2026-05-05,2026-05-05,662,5345866,174913,5170953
PO-2026-05-06,2026-05-06,1563,12443445,408631,12034814
PO-2026-05-07,2026-05-07,1957,14874341,491679,14382662
PO-2026-05-08,2026-05-08,2190,17503113,574444,16928669
PO-2026-05-09,2026-05-09,2292,18472503,606058,17866445
PO-2026-05-10,2026-05-10,2215,16190453,539426,15651027
PO-2026-05-11,2026-05-11,2276,16514257,553412,15960845
PO-2026-05-12,2026-05-12,1629,12510337,415157,12095180
PO-2026-05-13,2026-05-13,683,4869513,165428,4704085
PO-2026-05-14,2026-05-14,301,2110072,72888,2037184
PO-2026-05-15,2026-05-15,148,767955,31657,736298
PO-2026-05-16,2026-05-16,107,192338,15341,176997
PO-2026-05-17,2026-05-17,78,29847,11504,18343
PO-2026-05-18,2026-05-18,47,-135558,3934,-139492
PO-2026-05-19,2026-05-19,39,-293614,1758,-295372
PO-2026-05-20,2026-05-20,44,-239552,1500,-241052
PO-2026-05-21,2026-05-21,40,-374805,0,-374805
PO-2026-05-22,2026-05-22,35,-227098,6000,-233098
PO-2026-05-23,2026-05-23,33,-133661,1500,-135161
PO-2026-05-24,2026-05-24,43,-287943,6000,-293943
PO-2026-05-25,2026-05-25,43,-249772,3000,-252772
PO-2026-05-26,2026-05-26,30,-216641,0,-216641
PO-2026-05-27,2026-05-27,28,-187002,3000,-190002
PO-2026-05-28,2026-05-28,21,-252569,1500,-254069
PO-2026-05-29,2026-05-29,23,-127812,0,-127812
PO-2026-05-30,2026-05-30,21,-145418,3000,-148418
PO-2026-05-31,2026-05-31,17,-144352,1500,-145852
PO-2026-06-01,2026-06-01,8,-53244,4500,-57744
PO-2026-06-02,2026-06-02,3,-36442,1500,-37942
PO-2026-06-03,2026-06-03,3,-11361,1500,-12861
PO-2026-06-04,2026-06-04,6,-25504,1500,-27004
PO-2026-06-05,2026-06-05,2,-6688,1500,-8188
PO-2026-06-07,2026-06-07,3,-11111,4500,-15611
PO-2026-06-09,2026-06-09,2,-18988,3000,-21988
PO-2026-06-12,2026-06-12,1,-12823,1500,-14323
PO-2026-06-13,2026-06-13,1,-14817,1500,-16317
PO-2026-06-14,2026-06-14,3,-42020,4500,-46520
PO-2026-06-15,2026-06-15,2,-3811,3000,-6811
PO-2026-06-16,2026-06-16,3,-25488,4500,-29988
PO-2026-06-17,2026-06-17,4,-13206,6000,-19206
PO-2026-06-18,2026-06-18,1,-7692,1500,-9192
PO-2026-06-19,2026-06-19,2,-7933,3000,-10933
PO-2026-06-21,2026-06-21,2,-12993,3000,-15993
PO-2026-06-22,2026-06-22,1,-632,1500,-2132
PO-2026-06-23,2026-06-23,1,-2930,1500,-4430
PO-2026-06-24,2026-06-24,1,-5474,1500,-6974
PO-2026-06-25,2026-06-25,1,-16921,1500,-18421
PO-2026-06-26,2026-06-26,2,-8215,3000,-11215
PO-2026-06-27,2026-06-27,3,-41502,4500,-46002
PO-2026-06-28,2026-06-28,1,-1223,1500,-2723
PO-2026-06-29,2026-06-29,2,-8356,3000,-11356
PO-2026-06-30,2026-06-30,3,-36633,4500,-41133
PO-2026-07-01,2026-07-01,1,-3566,1500,-5066
PO-2026-07-02,2026-07-02,4,-35394,6000,-41394
PO-2026-07-03,2026-07-03,2,-11590,3000,-14590
PO-2026-07-05,2026-07-05,1,-6415,1500,-7915
PO-2026-07-06,2026-07-06,1,-26074,1500,-27574
PO-2026-07-07,2026-07-07,3,-30497,4500,-34997
PO-2026-07-10,2026-07-10,1,-11819,1500,-13319
