settlement_id,settled_at,payment_id,type,gross_minor,fee_minor,net_minor,currency,note
S000000,2026-05-05,P019735,capture,7766,255,7511,USD,
S000001,2026-05-05,P003386,capture,5930,202,5728,USD,
S000002,2026-05-05,P008906,capture,13824,431,13393,USD,
S000003,2026-05-05,P018771,capture,6356,214,6142,USD,
S000006,2026-05-05,P001420,capture,2052,90,1962,USD,
S000007,2026-05-05,P004368,capture,12193,384,11809,USD,
S000009,2026-05-05,P015537,capture,27045,814,26231,USD,
S000013,2026-05-05,P013241,capture,3912,143,3769,USD,
S000014,2026-05-05,P008637,capture,7701,253,7448,USD,
S000016,2026-05-05,P014881,capture,2907,114,2793,USD,
S000017,2026-05-05,P010443,capture,7973,261,7712,USD,
S000018,2026-05-05,P011131,capture,2200,94,2106,USD,
S000019,2026-05-05,P011064,capture,12534,393,12141,USD,
S000020,2026-05-05,P007425,capture,1628,77,1551,USD,
S000021,2026-05-05,P007784,capture,24250,733,23517,USD,
S000025,2026-05-05,P006955,capture,14824,460,14364,USD,
S000026,2026-05-05,P009609,capture,3382,128,3254,USD,
S000028,2026-05-05,P018024,capture,2539,104,2435,USD,
S000029,2026-05-05,P014014,capture,17086,525,16561,USD,
S000032,2026-05-05,P007034,capture,3216,123,3093,USD,
S000035,2026-05-05,P016827,capture,12046,379,11667,USD,
S000036,2026-05-05,P002882,capture,848,55,793,USD,
S000037,2026-05-05,P013359,capture,7648,252,7396,USD,
S000038,2026-05-05,P018473,capture,3573,134,3439,USD,
S000040,2026-05-05,P003120,capture,1994,88,1906,USD,
S000043,2026-05-05,P006794,capture,7633,251,7382,USD,
S000045,2026-05-05,P004561,capture,6108,207,5901,USD,
S000046,2026-05-05,P003088,capture,14964,464,14500,USD,
S000047,2026-05-05,P004691,capture,7876,258,7618,USD,
S000048,2026-05-05,P010005,capture,20751,632,20119,USD,
S000049,2026-05-05,P014578,capture,1809,82,1727,USD,
S000051,2026-05-05,P014599,capture,7789,256,7533,USD,
S000052,2026-05-05,P016451,capture,5910,201,5709,USD,
S000053,2026-05-05,P004764,capture,11357,359,10998,USD,
S000056,2026-05-05,P016000,capture,4673,166,4507,USD,
S000058,2026-05-05,P002585,capture,10787,343,10444,USD,
S000059,2026-05-05,P006417,capture,11451,362,11089,USD,
S000060,2026-05-05,P015748,capture,1570,76,1494,USD,
S000061,2026-05-05,P011815,capture,8467,276,8191,USD,
S000063,2026-05-05,P009554,capture,5213,181,5032,USD,
S000065,2026-05-05,P005130,capture,2855,113,2742,USD,
S000066,2026-05-05,P009678,capture,4123,150,3973,USD,
S000069,2026-05-05,P000824,capture,22072,670,21402,USD,
S000070,2026-05-05,P015862,capture,4134,150,3984,USD,
S000072,2026-05-05,P003857,capture,4806,169,4637,USD,
S000073,2026-05-05,P005400,capture,2552,104,2448,USD,
S000075,2026-05-05,P015433,capture,15702,485,15217,USD,
S000077,2026-05-05,P004383,capture,10498,334,10164,USD,
S000078,2026-05-05,P002912,capture,8556,278,8278,USD,
S000080,2026-05-05,P008983,capture,589,47,542,USD,
S000082,2026-05-05,P000977,capture,740,51,689,USD,
S000083,2026-05-05,P017761,capture,7869,258,7611,USD,
S000084,2026-05-05,P007641,capture,11349,359,10990,USD,
S000086,2026-05-05,P018466,capture,8110,265,7845,USD,
S000087,2026-05-05,P009436,capture,3746,139,3607,USD,
S000088,2026-05-05,P011796,capture,4120,149,3971,USD,
S000092,2026-05-05,P008083,capture,1857,84,1773,USD,
S000094,2026-05-05,P001090,capture,7354,243,7111,USD,
S000095,2026-05-05,P018275,capture,4068,148,3920,USD,
S000096,2026-05-05,P003632,capture,31048,930,30118,USD,
S000099,2026-05-05,P005634,capture,5803,198,5605,USD,
S000100,2026-05-05,P003922,capture,3267,125,3142,USD,
S000102,2026-05-05,P010738,capture,1495,73,1422,USD,
S000103,2026-05-05,P019070,capture,5407,187,5220,USD,
S000109,2026-05-05,P012123,capture,12103,381,11722,USD,
S000110,2026-05-05,P017745,capture,1621,77,1544,USD,
S000112,2026-05-05,P002827,capture,2768,110,2658,USD,
S000113,2026-05-05,P015481,capture,35544,1061,34483,USD,
S000114,2026-05-05,P003395,capture,986,59,927,USD,
S000115,2026-05-05,P012496,capture,902,56,846,USD,
S000116,2026-05-05,P005890,capture,2265,96,2169,USD,
S000119,2026-05-05,P004323,capture,5039,176,4863,USD,
S000120,2026-05-05,P019379,capture,9686,311,9375,USD,
S000124,2026-05-05,P017625,capture,2179,93,2086,USD,
S000125,2026-05-05,P012426,capture,3265,125,3140,USD,
S000126,2026-05-05,P000868,capture,7905,259,7646,USD,
S000127,2026-05-05,P011228,capture,1386,70,1316,USD,
S000128,2026-05-05,P005852,capture,6626,222,6404,USD,
S000129,2026-05-05,P004142,capture,2602,105,2497,USD,
S000131,2026-05-05,P014695,capture,4272,154,4118,USD,
S000132,2026-05-05,P015085,capture,4403,158,4245,USD,
S000133,2026-05-05,P019568,capture,8648,281,8367,USD,
S000134,2026-05-05,P001152,capture,1493,73,1420,USD,
S000135,2026-05-05,P011182,capture,38275,1140,37135,USD,
S000137,2026-05-05,P019364,capture,5010,175,4835,USD,
S000143,2026-05-05,P018082,capture,2722,109,2613,USD,
S000147,2026-05-05,P013627,capture,4106,149,3957,USD,
S000149,2026-05-05,P016099,capture,6920,231,6689,USD,
S000152,2026-05-05,P012506,capture,20835,634,20201,USD,
S000155,2026-05-05,P006167,capture,6261,212,6049,USD,
S000156,2026-05-05,P002919,capture,20295,619,19676,USD,
S000160,2026-05-05,P008404,capture,3899,143,3756,USD,
