application_id,age,income,employment_years,loan_amount,term_months,existing_debt,dti,prior_defaults,inquiries_6m,purpose,region,defaulted_12m
A200000,44,73561,7.1,9842,36,6899,0.0915,1,2,debt_consolidation,south,0
A200001,30,51324,3.4,5290,36,2694,0.0606,0,0,home_improvement,east,0
A200002,33,28528,10.7,6314,36,4290,0.149,0,0,debt_consolidation,south,0
A200003,38,95518,13.2,3223,24,2987,0.0325,0,0,education,central,0
A200004,34,116911,6.8,3617,36,919,0.0142,0,2,car,south,0
A200005,42,81316,6.7,9289,48,830,0.0337,1,0,home_improvement,south,0
A200006,48,39642,4.6,5024,36,6341,0.1222,0,3,car,central,0
A200007,25,44545,3.4,2136,60,952,0.0203,0,2,medical,central,0
A200008,32,68781,7.4,6251,36,3596,0.0564,0,1,other,south,0
A200009,49,42034,3.9,11742,48,8465,0.1705,0,1,debt_consolidation,north,0
A200010,21,96850,8.0,7145,60,9877,0.0657,2,3,debt_consolidation,east,0
A200011,35,24958,8.8,17515,36,5960,0.3533,0,0,home_improvement,north,0
A200012,35,51600,0.5,7037,60,1367,0.0405,0,1,car,central,0
A200013,30,55594,4.5,33550,48,5758,0.2027,0,1,home_improvement,south,0
A200014,34,36583,1.4,5453,24,12426,0.2444,2,2,car,east,0
A200015,44,66704,10.1,28682,12,441,0.4333,0,2,debt_consolidation,south,0
A200016,35,71521,6.2,37977,12,4097,0.5596,0,2,debt_consolidation,central,0
A200017,36,72408,1.9,5632,60,6225,0.0585,0,2,debt_consolidation,central,0
A200018,54,74673,7.2,10448,60,9897,0.0943,0,0,car,south,0
A200019,21,103522,1.5,27187,24,8425,0.172,0,1,car,east,0
A200020,32,34567,1.9,4757,36,10566,0.1987,0,1,debt_consolidation,north,0
A200021,36,39525,1.7,20819,12,29037,0.8941,0,0,home_improvement,north,1
A200022,48,33068,6.9,4629,24,1881,0.0984,1,2,car,south,0
A200023,24,81808,3.9,5607,60,11030,0.0811,0,0,debt_consolidation,central,0
A200024,53,94336,3.9,6204,48,5271,0.0444,0,1,car,central,0
A200025,43,78024,4.0,7319,24,1239,0.0548,0,0,car,central,0
A200026,34,26623,1.9,5098,36,574,0.0746,0,1,debt_consolidation,central,0
A200027,37,24003,3.0,8749,24,2532,0.235,0,4,car,south,0
A200028,49,30245,5.1,4251,36,1050,0.0642,0,1,home_improvement,south,0
A200029,21,83389,5.4,5869,12,10800,0.1351,0,3,car,south,0
A200030,46,71522,1.1,4400,24,943,0.0374,0,0,medical,south,0
A200031,32,113499,7.8,9680,12,52570,0.3169,0,2,medical,south,1
A200032,24,32070,3.5,5855,48,1526,0.0694,0,0,debt_consolidation,south,0
A200033,43,54373,8.0,7685,36,7038,0.1118,2,1,home_improvement,central,0
A200034,56,127796,19.1,9071,60,1999,0.022,0,0,home_improvement,east,0
A200035,49,20203,0.8,12459,24,3718,0.4004,2,5,debt_consolidation,south,0
A200036,29,69130,3.2,19915,12,2692,0.3076,0,1,other,south,0
A200037,43,78592,3.7,11740,60,40036,0.2846,0,3,home_improvement,south,0
A200038,58,57047,3.7,4647,60,8765,0.0931,1,2,debt_consolidation,central,1
A200039,43,55061,6.5,1414,48,2743,0.0313,0,0,debt_consolidation,central,0
A200040,49,85654,1.7,9943,12,16888,0.2147,0,1,debt_consolidation,central,0
A200041,43,65396,7.6,4428,24,576,0.0383,0,2,education,central,0
A200042,43,52987,9.4,15224,12,51036,0.7689,1,1,debt_consolidation,east,0
A200043,30,46798,5.7,2686,60,10804,0.1269,0,1,debt_consolidation,south,0
A200044,34,21869,6.8,5816,12,27218,0.8882,0,0,education,north,0
A200045,27,50444,3.4,11628,24,807,0.1233,0,4,car,central,0
A200046,47,31506,0.9,4573,60,13401,0.2417,2,3,car,east,1
A200047,25,92305,4.9,15013,60,2742,0.0474,2,2,home_improvement,south,0
A200048,44,30439,8.3,8424,12,2522,0.3182,0,0,car,south,0
A200049,23,31467,5.3,15586,36,2337,0.2022,0,2,debt_consolidation,central,1
A200050,34,85091,5.4,6017,36,9764,0.0809,0,2,home_improvement,south,0
A200051,53,37223,8.6,19397,48,2065,0.158,0,2,car,north,0
A200052,46,38812,1.3,12863,24,12796,0.3306,0,1,other,east,0
A200053,42,136464,5.1,10770,36,13025,0.074,1,1,home_improvement,south,0
A200054,31,35942,8.0,10512,36,700,0.1072,0,0,other,east,0
A200055,39,68089,1.8,6573,60,767,0.0249,0,2,debt_consolidation,north,0
A200056,44,140030,4.9,7544,48,1654,0.0194,0,0,education,central,0
A200057,52,40600,2.7,5591,12,52568,0.7851,0,0,debt_consolidation,central,1
A200058,37,78207,4.5,10674,36,4088,0.0716,1,2,debt_consolidation,south,0
A200059,26,38087,8.7,8953,36,23370,0.3852,0,4,debt_consolidation,north,1
A200060,39,36897,2.4,35296,60,1701,0.2144,0,0,debt_consolidation,central,0
A200061,49,54384,2.1,12552,36,1679,0.0924,0,2,medical,south,0
A200062,45,19649,4.5,11223,36,3227,0.2725,0,3,car,north,0
A200063,24,46974,9.7,4911,48,68922,0.7598,0,0,home_improvement,north,0
A200064,44,32763,2.8,10943,24,3100,0.2143,0,1,car,north,0
A200065,37,34392,7.6,5307,36,7403,0.1591,0,0,debt_consolidation,central,0
A200066,42,86028,6.2,5745,36,1923,0.0334,0,0,debt_consolidation,east,0
A200067,37,13804,8.2,6043,12,3527,0.5655,0,2,debt_consolidation,north,0
A200068,21,53713,1.1,4309,36,2513,0.0501,0,1,home_improvement,east,0
A200069,49,74770,1.1,18954,12,3531,0.2771,0,3,home_improvement,east,0
A200070,21,53440,3.0,6463,12,10275,0.2171,1,1,car,south,0
A200071,33,74184,1.0,18314,36,31765,0.2964,0,0,debt_consolidation,south,0
A200072,41,39580,3.4,17347,12,8721,0.5484,1,0,education,central,0
A200073,33,77122,1.1,26797,60,1092,0.0766,0,3,other,central,0
A200074,44,80198,4.3,18994,12,15490,0.3334,0,0,debt_consolidation,south,0
A200075,44,178895,3.6,21491,12,8675,0.1444,0,1,car,south,0
A200076,24,14484,3.5,8476,48,4024,0.2852,0,0,education,south,0
A200077,46,45775,1.1,5638,36,4831,0.0938,0,2,debt_consolidation,east,0
A200078,48,213557,1.2,3690,60,1181,0.0062,1,1,debt_consolidation,south,0
A200079,36,59714,2.0,19250,48,3497,0.1099,0,3,other,south,0
A200080,28,20141,4.3,14096,36,17470,0.667,0,2,debt_consolidation,east,1
A200081,43,63255,11.0,12550,36,8822,0.1359,0,0,home_improvement,east,0
A200082,27,44169,8.6,12931,60,46619,0.5863,0,1,car,east,0
A200083,41,47050,6.4,2700,36,2699,0.0478,0,1,home_improvement,north,0
A200084,36,76138,6.9,16298,60,1720,0.0541,0,0,education,central,0
A200085,21,22105,8.2,4895,24,1937,0.1545,0,2,debt_consolidation,north,0
A200086,56,172537,2.0,9838,60,11045,0.0434,0,2,home_improvement,north,0
A200087,26,69256,1.6,14643,24,1892,0.1194,1,0,education,central,0
A200088,54,96131,1.1,12360,60,6020,0.057,0,1,home_improvement,central,0
A200089,29,45938,4.3,8856,48,551,0.0542,2,1,home_improvement,central,0
A200090,48,28227,6.2,9756,60,9857,0.2437,0,2,debt_consolidation,north,0
A200091,47,85028,6.3,13271,48,2585,0.0542,0,4,debt_consolidation,south,0
A200092,45,42526,3.4,5749,24,2619,0.0984,1,2,car,east,0
A200093,30,80986,5.0,8183,48,3437,0.0465,0,5,home_improvement,east,0
A200094,36,31549,12.1,3640,36,2673,0.0808,0,0,home_improvement,east,0
A200095,38,75721,4.4,4961,24,18753,0.1566,0,1,debt_consolidation,central,0
A200096,34,37071,5.4,27856,48,3548,0.2357,0,0,home_improvement,east,0
A200097,26,109224,5.1,31959,48,4758,0.0949,0,0,car,north,0
A200098,41,52689,7.0,20302,24,3194,0.223,0,2,home_improvement,east,0
A200099,49,53273,1.8,1703,36,5669,0.0639,2,2,debt_consolidation,central,0
A200100,33,91039,0.1,9862,60,23896,0.1529,0,0,education,north,0
A200101,21,16300,1.1,4990,24,2052,0.216,0,1,home_improvement,south,0
A200102,30,48372,4.4,19173,48,5169,0.1525,2,1,debt_consolidation,north,0
A200103,45,39967,4.3,8565,36,11470,0.2149,0,0,home_improvement,south,0
A200104,41,45546,4.1,3954,48,1470,0.0378,0,0,debt_consolidation,south,0
A200105,24,97280,2.7,8841,24,5976,0.0762,0,2,education,central,0
A200106,44,27650,4.7,6492,24,4275,0.1947,0,0,other,east,0
A200107,33,30667,3.9,4036,36,3802,0.1059,0,1,car,central,0
A200108,46,139579,4.8,5081,36,2396,0.0207,0,2,education,south,0
A200109,41,46019,3.5,49354,36,1374,0.3724,0,1,debt_consolidation,north,0
A200110,49,82077,5.3,2873,12,18250,0.1462,0,4,medical,central,0
A200111,38,67890,10.3,13979,48,1674,0.0638,0,2,debt_consolidation,central,0
A200112,25,28072,3.9,25904,60,22070,0.5777,0,0,other,east,0
A200113,27,43713,0.8,3280,24,7484,0.1231,0,0,medical,east,0
A200114,46,133888,3.6,7912,48,7677,0.0434,0,4,home_improvement,south,0
A200115,32,135281,8.3,2419,24,4953,0.0272,0,3,debt_consolidation,south,0
A200116,40,52505,2.6,5823,60,2354,0.0446,0,0,other,south,0
A200117,24,87265,1.0,4181,24,1663,0.0335,1,3,home_improvement,central,0
A200118,37,21569,7.0,10223,36,5262,0.28,0,2,other,east,0
