date,description,amount,running_balance
2026-06-01,LOTTE MART,-65141.00,
2026-06-01,NETFLIX.COM,-183270.00,
2026-06-01,SHOPEE,-73867.00,
2026-06-01,EVN HANOI,-111118.00,
2026-06-01,PHO 24,-565502.00,
2026-06-01,NETFLIX.COM,-98347.00,
2026-06-01,CIRCLE K,-72972.00,
2026-06-01,LOTTE MART,-19139.00,
2026-06-02,HIGHLANDS COFFEE,-47628.00,
2026-06-02,PHO 24,-31294.00,
2026-06-02,HIGHLANDS COFFEE,-16060.00,
2026-06-02,SHOPEE,-57376.00,
2026-06-02,SHOPEE,-86301.00,
2026-06-02,APPLE.COM/BILL,-34965.00,
2026-06-02,NETFLIX.COM,-39794.00,
2026-06-02,NETFLIX.COM,-57207.00,
2026-06-03,HIGHLANDS COFFEE,-14778.00,
2026-06-03,GRAB *RIDE,-51085.00,
2026-06-03,VINMART,-179306.00,
2026-06-03,VINMART,-124103.00,
2026-06-03,SHOPEE,-28112.00,
2026-06-03,GRAB *RIDE,-42026.00,
2026-06-03,LOTTE MART,-115668.00,
2026-06-03,SHOPEE,-28519.00,
2026-06-04,PHO 24,-80741.00,
2026-06-04,EVN HANOI,-14686.00,
2026-06-04,PHO 24,-76152.00,
2026-06-04,HIGHLANDS COFFEE,-14419.00,
2026-06-04,VINMART,-78135.00,
2026-06-05,VINMART,-92306.00,
2026-06-05,PHO 24,-24305.00,
2026-06-06,NETFLIX.COM,-189886.00,
2026-06-06,GRAB *RIDE,-77838.00,
2026-06-07,SHOPEE,-245226.00,
2026-06-07,PHO 24,-102472.00,
2026-06-07,EVN HANOI,-93004.00,
2026-06-07,NETFLIX.COM,-31439.00,
2026-06-07,NETFLIX.COM,-10918.00,
2026-06-07,VINMART,-29341.00,
2026-06-08,CIRCLE K,-100389.00,
2026-06-08,NETFLIX.COM,-85732.00,
2026-06-08,VINMART,-141602.00,
2026-06-08,NETFLIX.COM,-47897.00,
2026-06-08,SHOPEE,-159661.00,
2026-06-08,HIGHLANDS COFFEE,-39050.00,
2026-06-08,APPLE.COM/BILL,-195129.00,
2026-06-08,EVN HANOI,-63285.00,
2026-06-09,NETFLIX.COM,-267417.00,
2026-06-09,GRAB *RIDE,-311823.00,
2026-06-09,PHO 24,-26457.00,
2026-06-09,CIRCLE K,-31493.00,
2026-06-09,EVN HANOI,-26997.00,
2026-06-10,SHOPEE,-95857.00,
2026-06-10,NETFLIX.COM,-985880.00,
2026-06-10,GRAB *RIDE,-34791.00,
2026-06-10,EVN HANOI,-205688.00,
2026-06-10,CIRCLE K,-110225.00,
2026-06-11,VINMART,-7080.00,
2026-06-11,CIRCLE K,-86881.00,
2026-06-12,CIRCLE K,-183337.00,
2026-06-10,SHOPEE,-95857.00,
2026-06-10,NETFLIX.COM,-985880.00,
2026-06-10,GRAB *RIDE,-34791.00,
2026-06-10,EVN HANOI,-205688.00,
2026-06-10,CIRCLE K,-110225.00,
2026-06-11,VINMART,-7080.00,
2026-06-11,CIRCLE K,-86881.00,
2026-06-12,CIRCLE K,-183337.00,
