at,endpoint,status,latency_ms
2026-07-02T14:00:00.000,POST /payments,201,97.35
2026-07-02T14:00:00.010,POST /payments,201,259.59
2026-07-02T14:00:00.020,GET /health,200,38.31
2026-07-02T14:00:00.030,GET /health,200,10.61
2026-07-02T14:00:00.040,GET /health,200,18.26
2026-07-02T14:00:00.050,POST /payments,201,81.55
2026-07-02T14:00:00.060,GET /health,200,8.20
2026-07-02T14:00:00.070,GET /payments/{id},200,118.81
2026-07-02T14:00:00.080,GET /health,200,41.39
2026-07-02T14:00:00.090,POST /payments,201,61.50
2026-07-02T14:00:00.100,POST /payments,201,418.63
2026-07-02T14:00:00.110,POST /payments,201,366.15
2026-07-02T14:00:00.120,POST /payments,201,172.61
2026-07-02T14:00:00.130,POST /payments,201,138.84
2026-07-02T14:00:00.140,POST /payments,201,115.54
2026-07-02T14:00:00.150,POST /payments,201,249.37
2026-07-02T14:00:00.160,POST /payments,201,124.16
2026-07-02T14:00:00.170,POST /payments,201,568.00
2026-07-02T14:00:00.180,GET /payments/{id},200,77.09
2026-07-02T14:00:00.190,POST /payments,201,191.83
2026-07-02T14:00:00.200,POST /payments,201,315.06
2026-07-02T14:00:00.210,POST /payments,201,128.30
2026-07-02T14:00:00.220,POST /payments,201,62.78
2026-07-02T14:00:00.230,GET /health,200,24.72
2026-07-02T14:00:00.240,POST /payments,201,98.87
2026-07-02T14:00:00.250,POST /payments,201,193.88
2026-07-02T14:00:00.260,POST /payments,201,232.13
2026-07-02T14:00:00.270,POST /payments,201,674.68
2026-07-02T14:00:00.280,POST /payments,201,411.36
2026-07-02T14:00:00.290,GET /payments/{id},200,242.23
2026-07-02T14:00:00.300,POST /payments,201,207.09
2026-07-02T14:00:00.310,POST /payments,201,525.44
2026-07-02T14:00:00.320,GET /payments/{id},200,30.49
2026-07-02T14:00:00.330,POST /payments,201,200.87
2026-07-02T14:00:00.340,GET /payments/{id},200,182.23
2026-07-02T14:00:00.350,POST /payments,201,97.76
2026-07-02T14:00:00.360,POST /payments,201,111.25
2026-07-02T14:00:00.370,GET /health,200,4.63
2026-07-02T14:00:00.380,POST /payments,201,207.14
2026-07-02T14:00:00.390,GET /payments/{id},200,88.58
2026-07-02T14:00:00.400,GET /payments/{id},200,453.98
2026-07-02T14:00:00.410,POST /payments,201,273.46
2026-07-02T14:00:00.420,GET /payments/{id},200,112.62
2026-07-02T14:00:00.430,POST /payments,201,54.04
2026-07-02T14:00:00.440,GET /payments/{id},200,185.15
2026-07-02T14:00:00.450,GET /payments/{id},200,69.07
2026-07-02T14:00:00.460,POST /payments,201,171.34
2026-07-02T14:00:00.470,POST /payments,201,39.59
2026-07-02T14:00:00.480,POST /payments,201,251.39
2026-07-02T14:00:00.490,POST /payments,201,182.26
2026-07-02T14:00:00.500,POST /payments,201,102.35
2026-07-02T14:00:00.510,POST /payments,201,215.08
2026-07-02T14:00:00.520,GET /payments/{id},200,50.17
2026-07-02T14:00:00.530,GET /payments/{id},200,94.03
2026-07-02T14:00:00.540,POST /payments,201,829.81
2026-07-02T14:00:00.550,POST /payments,201,179.52
2026-07-02T14:00:00.560,GET /payments/{id},200,110.60
2026-07-02T14:00:00.570,POST /payments,201,275.02
2026-07-02T14:00:00.580,GET /payments/{id},200,302.37
2026-07-02T14:00:00.590,POST /payments,201,61.92
2026-07-02T14:00:00.600,POST /payments,201,517.63
2026-07-02T14:00:00.610,POST /payments,201,104.88
2026-07-02T14:00:00.620,POST /payments,201,235.04
2026-07-02T14:00:00.630,POST /payments,201,130.90
2026-07-02T14:00:00.640,GET /payments/{id},200,68.17
2026-07-02T14:00:00.650,GET /payments/{id},200,104.22
2026-07-02T14:00:00.660,POST /payments,201,303.40
2026-07-02T14:00:00.670,GET /payments/{id},200,106.70
2026-07-02T14:00:00.680,POST /payments,201,164.91
2026-07-02T14:00:00.690,GET /health,200,7.56
2026-07-02T14:00:00.700,POST /payments,201,190.41
2026-07-02T14:00:00.710,GET /payments/{id},200,78.53
2026-07-02T14:00:00.720,GET /health,200,12.00
