txn_id,timestamp,customer_id,amount,category,country,card_present,hours_since_prev_txn,txns_last_1h,is_fraud
T101212,2025-06-01 00:34:00,C1328,50.53,gaming,VN,1,2.53,0,0
T103037,2025-06-01 00:41:00,C1109,48.93,gaming,VN,0,14.96,0,0
T100367,2025-06-01 02:44:00,C1262,17.14,electronics,VN,1,1.17,1,0
T104182,2025-06-01 02:46:00,C1171,34.9,electronics,VN,1,3.32,1,0
T104873,2025-06-01 03:06:00,C1041,4.36,gaming,VN,0,3.62,0,0
T100181,2025-06-01 05:54:00,C1075,124.43,pharmacy,VN,0,3.61,0,0
T103604,2025-06-01 06:28:00,C1366,63.29,fuel,VN,0,6.34,1,0
T103529,2025-06-01 06:34:00,C1271,31.67,gaming,VN,1,1.62,0,0
T105666,2025-06-01 06:58:00,C1329,36.92,gaming,VN,0,4.74,0,0
T100056,2025-06-01 07:01:00,C1327,15.18,gaming,VN,1,7.05,0,0
T102344,2025-06-01 07:02:00,C1018,17.01,grocery,VN,1,2.73,0,0
T101435,2025-06-01 07:20:00,C1166,28.83,electronics,VN,0,23.4,0,0
T101450,2025-06-01 07:49:00,C1005,18.9,gaming,VN,1,2.42,1,0
T100348,2025-06-01 07:57:00,C1338,5.75,pharmacy,VN,0,0.6,0,0
T101369,2025-06-01 08:12:00,C1231,87.9,grocery,VN,0,11.01,0,0
T100359,2025-06-01 08:48:00,C1204,6.72,clothing,VN,1,1.74,0,0
T100177,2025-06-01 08:49:00,C1005,5.7,grocery,VN,1,51.77,2,0
T102139,2025-06-01 08:49:00,C1383,14.74,grocery,VN,1,1.44,3,0
T104493,2025-06-01 09:00:00,C1287,47.14,gaming,VN,0,7.81,0,0
T102360,2025-06-01 09:15:00,C1080,11.02,gaming,VN,1,13.21,2,0
T104159,2025-06-01 09:17:00,C1063,17.84,gaming,VN,1,9.05,1,0
T101187,2025-06-01 09:18:00,C1063,14.17,gaming,VN,0,33.33,0,0
T103382,2025-06-01 09:38:00,C1326,9.14,gaming,VN,1,164.02,0,0
T100917,2025-06-01 09:40:00,C1264,41.44,travel,VN,1,6.45,1,0
T101644,2025-06-01 10:07:00,C1339,17.16,fuel,VN,1,34.73,0,0
T100146,2025-06-01 10:29:00,C1151,28.58,restaurant,VN,0,0.9,0,0
T104543,2025-06-01 10:33:00,C1032,14.36,clothing,VN,1,7.63,1,0
T100445,2025-06-01 10:39:00,C1279,15.77,pharmacy,VN,1,2.23,0,0
T101600,2025-06-01 10:39:00,C1050,35.03,pharmacy,VN,1,63.96,3,0
T103309,2025-06-01 10:45:00,C1251,25.58,pharmacy,VN,1,173.01,2,0
T100747,2025-06-01 10:58:00,C1270,27.65,gaming,VN,0,3.27,1,0
T104342,2025-06-01 11:06:00,C1178,47.21,restaurant,VN,1,6.18,3,0
T101815,2025-06-01 11:18:00,C1080,126.45,electronics,VN,0,4.54,0,0
T100442,2025-06-01 11:27:00,C1006,7.63,clothing,VN,1,4.42,0,0
T101716,2025-06-01 11:35:00,C1351,4.93,fuel,VN,1,3.12,0,0
T102843,2025-06-01 11:40:00,C1350,30.44,gaming,VN,1,4.03,0,0
T104313,2025-06-01 11:47:00,C1012,8.32,grocery,VN,0,31.19,1,0
T104885,2025-06-01 11:54:00,C1199,64.5,electronics,VN,0,8.38,1,0
